,R_0,R_1,R_2,R_3,R_4,City_State,County_Name,Secondary_Name,State
0,673,699,920,1209,1560,"Abilene, TX MSA",Callahan County,Callahan County,TX
1,673,699,920,1209,1560,"Abilene, TX MSA",Jones County,Jones County,TX
2,673,699,920,1209,1560,"Abilene, TX MSA",Taylor County,Taylor County,TX
3,386,397,452,591,713,"Aguadilla-Isabela, PR HUD Metro FMR Area",Aguada Municipio,Aguada Municipio,PR
4,386,397,452,591,713,"Aguadilla-Isabela, PR HUD Metro FMR Area",Aguadilla Municipio,Aguadilla Municipio,PR
5,386,397,452,591,713,"Aguadilla-Isabela, PR HUD Metro FMR Area",Isabela Municipio,Isabela Municipio,PR
6,386,397,452,591,713,"Aguadilla-Isabela, PR HUD Metro FMR Area",Lares Municipio,Lares Municipio,PR
7,386,397,452,591,713,"Aguadilla-Isabela, PR HUD Metro FMR Area",Moca Municipio,Moca Municipio,PR
8,379,390,444,553,601,"Utuado Municipio, PR HUD Metro FMR Area",Utuado Municipio,Utuado Municipio,PR
9,600,709,912,1147,1235,"Akron, OH MSA",Portage County,Portage County,OH
10,600,709,912,1147,1235,"Akron, OH MSA",Summit County,Summit County,OH
11,643,666,791,1031,1151,"Albany, GA MSA",Baker County,Baker County,GA
12,643,666,791,1031,1151,"Albany, GA MSA",Dougherty County,Dougherty County,GA
13,643,666,791,1031,1151,"Albany, GA MSA",Lee County,Lee County,GA
14,643,666,791,1031,1151,"Albany, GA MSA",Terrell County,Terrell County,GA
15,643,666,791,1031,1151,"Albany, GA MSA",Worth County,Worth County,GA
16,758,875,1153,1643,1919,"Albany, OR MSA",Linn County,Linn County,OR
17,806,922,1136,1416,1539,"Albany-Schenectady-Troy, NY MSA",Albany County,Albany County,NY
18,806,922,1136,1416,1539,"Albany-Schenectady-Troy, NY MSA",Rensselaer County,Rensselaer County,NY
19,806,922,1136,1416,1539,"Albany-Schenectady-Troy, NY MSA",Saratoga County,Saratoga County,NY
20,806,922,1136,1416,1539,"Albany-Schenectady-Troy, NY MSA",Schenectady County,Schenectady County,NY
21,806,922,1136,1416,1539,"Albany-Schenectady-Troy, NY MSA",Schoharie County,Schoharie County,NY
22,612,764,940,1356,1614,"Albuquerque, NM MSA",Bernalillo County,Bernalillo County,NM
23,612,764,940,1356,1614,"Albuquerque, NM MSA",Sandoval County,Sandoval County,NM
24,612,764,940,1356,1614,"Albuquerque, NM MSA",Torrance County,Torrance County,NM
25,612,764,940,1356,1614,"Albuquerque, NM MSA",Valencia County,Valencia County,NM
26,556,687,853,1122,1271,"Alexandria, LA MSA",Grant Parish,Grant Parish,LA
27,556,687,853,1122,1271,"Alexandria, LA MSA",Rapides Parish,Rapides Parish,LA
28,742,861,1098,1421,1487,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",Carbon County,Carbon County,PA
29,742,861,1098,1421,1487,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",Lehigh County,Lehigh County,PA
30,742,861,1098,1421,1487,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",Northampton County,Northampton County,PA
31,891,1017,1246,1553,1688,"Warren County, NJ HUD Metro FMR Area",Warren County,Warren County,NJ
32,595,654,817,1018,1107,"Altoona, PA MSA",Blair County,Blair County,PA
33,638,723,934,1276,1428,"Amarillo, TX HUD Metro FMR Area",Armstrong County,Armstrong County,TX
34,638,723,934,1276,1428,"Amarillo, TX HUD Metro FMR Area",Carson County,Carson County,TX
35,638,723,934,1276,1428,"Amarillo, TX HUD Metro FMR Area",Potter County,Potter County,TX
36,638,723,934,1276,1428,"Amarillo, TX HUD Metro FMR Area",Randall County,Randall County,TX
37,689,782,1010,1259,1544,"Oldham County, TX HUD Metro FMR Area",Oldham County,Oldham County,TX
38,720,744,903,1255,1493,"Ames, IA MSA",Story County,Story County,IA
39,994,1054,1388,2002,2437,"Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,Anchorage Municipality,AK
40,785,839,1105,1594,1940,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",Matanuska-Susitna Borough,Matanuska-Susitna Borough,AK
41,983,1007,1228,1579,1930,"Ann Arbor, MI MSA",Washtenaw County,Washtenaw County,MI
42,490,556,732,952,1121,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,Calhoun County,AL
43,640,667,866,1202,1206,"Appleton, WI MSA",Calumet County,Calumet County,WI
44,640,667,866,1202,1206,"Appleton, WI MSA",Outagamie County,Outagamie County,WI
45,393,400,461,609,760,"Arecibo, PR HUD Metro FMR Area",Arecibo Municipio,Arecibo Municipio,PR
46,393,400,461,609,760,"Arecibo, PR HUD Metro FMR Area",Camuy Municipio,Camuy Municipio,PR
47,393,400,461,609,760,"Arecibo, PR HUD Metro FMR Area",Hatillo Municipio,Hatillo Municipio,PR
48,408,420,478,658,793,"Quebradillas Municipio, PR HUD Metro FMR Area",Quebradillas Municipio,Quebradillas Municipio,PR
49,1115,1122,1347,1843,2365,"Asheville, NC HUD Metro FMR Area",Buncombe County,Buncombe County,NC
50,1115,1122,1347,1843,2365,"Asheville, NC HUD Metro FMR Area",Henderson County,Henderson County,NC
51,1115,1122,1347,1843,2365,"Asheville, NC HUD Metro FMR Area",Madison County,Madison County,NC
52,696,862,981,1247,1586,"Haywood County, NC HUD Metro FMR Area",Haywood County,Haywood County,NC
53,735,771,904,1226,1452,"Athens-Clarke County, GA MSA",Clarke County,Clarke County,GA
54,735,771,904,1226,1452,"Athens-Clarke County, GA MSA",Madison County,Madison County,GA
55,735,771,904,1226,1452,"Athens-Clarke County, GA MSA",Oconee County,Oconee County,GA
56,735,771,904,1226,1452,"Athens-Clarke County, GA MSA",Oglethorpe County,Oglethorpe County,GA
57,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Barrow County,Barrow County,GA
58,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Bartow County,Bartow County,GA
59,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Carroll County,Carroll County,GA
60,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Cherokee County,Cherokee County,GA
61,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Clayton County,Clayton County,GA
62,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Cobb County,Cobb County,GA
63,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Coweta County,Coweta County,GA
64,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Dawson County,Dawson County,GA
65,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",DeKalb County,DeKalb County,GA
66,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Douglas County,Douglas County,GA
67,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Fayette County,Fayette County,GA
68,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Forsyth County,Forsyth County,GA
69,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Fulton County,Fulton County,GA
70,1065,1096,1248,1592,1951,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",Gwinnett County,Gwinnett County,GA
